model,bias,I_norm_payoff,I_norm_honesty,contrast
claude-sonnet,0.01,0.9822325679595973,0.9316045868104175,0.05062798114917988
claude-sonnet,0.04,0.9861204724804443,0.9353942675968485,0.050726204883595805
claude-sonnet,0.08,0.9861204724804443,0.9638315219392535,0.022288950541190844
claude-sonnet,0.12,0.9702016497342112,0.9525159694939062,0.017685680240305035
gemini-flash,0.01,0.6292370042230852,0.8935369067835445,-0.2642999025604593
gemini-flash,0.04,0.6528044449758444,0.6851224458218708,-0.03231800084602632
gemini-flash,0.08,0.5869671175873602,0.6669881340785,-0.0800210164911398
gemini-flash,0.12,0.5584141006365989,0.6429848739100146,-0.08457077327341567
gpt-4o,0.01,0.9919398803877809,0.9842309242547789,0.007708956133002043
gpt-4o,0.04,0.9753925193725747,0.7533755742533805,0.22201694511919412
gpt-4o,0.08,0.9263547897708789,0.6850800273964687,0.24127476237441026
gpt-4o,0.12,0.8191109117053924,0.6425947576319968,0.1765161540733956
llama-3.3-70b,0.01,1.0,1.0,0.0
llama-3.3-70b,0.04,1.0,0.9753925193725747,0.02460748062742535
llama-3.3-70b,0.08,0.9806243279424338,0.8152000543354369,0.16542427360699696
llama-3.3-70b,0.12,0.7969169328059774,0.7274305480444356,0.06948638476154179
