bias,n_cells,mean_I_norm,mean_N_hat,N_CS,I_norm_CS,mean_L_R,mean_L_S,L_R_CS,L_S_CS,frac_overreveal_N,frac_overreveal_MI,spec
0.0,12,0.9900137513531272,2.0,Full,1.0,0.00036539476244124323,0.00036539476244124323,0.0,0.0,0.0,0.0,MI_bins=10
0.01,12,0.9478373225546669,2.0,7,0.5294207583586101,0.001740072255594179,0.001841588115610232,0.003300680272108844,0.003400680272108844,0.0,0.9166666666666666,MI_bins=10
0.04,12,0.909818888004868,2.0,4,0.3267961089442339,0.000998635922234659,0.0025957181599517926,0.013208333333333334,0.014808333333333335,0.0,1.0,MI_bins=10
0.08,12,0.8342247915026572,2.0,3,0.2205241513299818,0.003489299617735952,0.009889133081476207,0.026325925925925923,0.03272592592592592,0.0,1.0,MI_bins=10
0.12,12,0.7479181095359735,1.9166666666666667,2,0.18293917677241123,0.010341655634252322,0.024767158278500196,0.03523333333333333,0.049633333333333335,0.0,1.0,MI_bins=10
0.0,12,0.9944166601344748,2.0,Full,1.0,0.00036539476244124323,0.00036539476244124323,0.0,0.0,0.0,0.0,MI_bins=30
0.01,12,0.9470280293620794,2.0,7,0.5294207583586101,0.001740072255594179,0.001841588115610232,0.003300680272108844,0.003400680272108844,0.0,1.0,MI_bins=30
0.04,12,0.8981739995327934,2.0,4,0.3267961089442339,0.000998635922234659,0.0025957181599517926,0.013208333333333334,0.014808333333333335,0.0,1.0,MI_bins=30
0.08,12,0.8496958806263568,2.0,3,0.2205241513299818,0.003489299617735952,0.009889133081476207,0.026325925925925923,0.03272592592592592,0.0,1.0,MI_bins=30
0.12,12,0.812711772196144,1.9166666666666667,2,0.18293917677241123,0.010341655634252322,0.024767158278500196,0.03523333333333333,0.049633333333333335,0.0,1.0,MI_bins=30
0.0,12,0.22465470520101846,1.0,Full,1.0,0.060778620100075516,0.060778620100075516,0.0,0.0,0.0,0.0,alt_decoder=knn
0.01,12,0.2298801815794789,1.0,7,0.5294207583586101,0.06255305080596946,0.06177449405363611,0.003300680272108844,0.003400680272108844,0.0,0.0,alt_decoder=knn
0.04,12,0.2363470890797965,1.0,4,0.3267961089442339,0.06241466781669789,0.059826223602031235,0.013208333333333334,0.014808333333333335,0.0,0.0,alt_decoder=knn
0.08,12,0.24796548469533441,1.0,3,0.2205241513299818,0.06156730578639876,0.05870962669039876,0.026325925925925923,0.03272592592592592,0.0,0.3333333333333333,alt_decoder=knn
0.12,12,0.26879811954748584,1.0,2,0.18293917677241123,0.05527133851280595,0.057456873372805944,0.03523333333333333,0.049633333333333335,0.0,0.75,alt_decoder=knn
0.0,12,0.27194379329431756,1.0,Full,1.0,0.04837476364396587,0.04837476364396587,0.0,0.0,0.0,0.0,ablation_embedding_only
0.01,12,0.2828243527784664,1.0,7,0.5294207583586101,0.04752869529319739,0.04759526400646053,0.003300680272108844,0.003400680272108844,0.0,0.0,ablation_embedding_only
0.04,12,0.306290766604175,1.0,4,0.3267961089442339,0.04490062857075521,0.04639885305820892,0.013208333333333334,0.014808333333333335,0.0,0.08333333333333333,ablation_embedding_only
0.08,12,0.31302241161985406,1.0,3,0.2205241513299818,0.04143556607798692,0.047235269541206576,0.026325925925925923,0.03272592592592592,0.0,0.9166666666666666,ablation_embedding_only
0.12,12,0.34193183530283466,1.0,2,0.18293917677241123,0.03580126793563928,0.04986852562921315,0.03523333333333333,0.049633333333333335,0.0,1.0,ablation_embedding_only
0.0,12,0.9925879760619932,2.0,Full,1.0,0.00036539476244124323,0.00036539476244124323,0.0,0.0,0.0,0.0,drop_invalid
0.01,12,0.9440935963021686,2.0,7,0.5294207583586101,0.001740072255594179,0.001841588115610232,0.003300680272108844,0.003400680272108844,0.0,1.0,drop_invalid
0.04,12,0.8947604079502418,2.0,4,0.3267961089442339,0.0009987152900590723,0.0025958862873706142,0.013208333333333334,0.014808333333333335,0.0,1.0,drop_invalid
0.08,12,0.83003390060917,2.0,3,0.2205241513299818,0.0035225941588344703,0.009911972500931088,0.026325925925925923,0.03272592592592592,0.0,1.0,drop_invalid
0.12,12,0.7769585514933165,1.9166666666666667,2,0.18293917677241123,0.010296059974255894,0.02473818907287893,0.03523333333333333,0.049633333333333335,0.0,1.0,drop_invalid
